,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
782,18940,5.181%,7.241%,19.365%,33.673%,5.387%,13.020%,13.607%,1.679%,0.587%,0.258%
783,18942,3.223%,0.998%,2.763%,20.491%,3.147%,22.947%,39.447%,6.063%,0.921%,30.252101%
784,18944,1.922%,2.432%,8.257%,24.677%,8.067%,17.926%,31.546%,3.203%,1.424%,0.546%
785,18947,1.767%,2.419%,11.302%,31.535%,5.442%,19.674%,24.977%,1.535%,1.349%,0.000%
786,18950,36.364%,24.242%,12.121%,0.000000%,32.292%,100.000%,0.000%,0.000%,43.056%,100.000%
787,18951,0.519%,1.842%,6.279%,19.849%,5.961%,13.972%,39.782%,8.388%,2.620%,0.787%
788,18954,3.900%,4.306%,13.323%,27.988%,5.398%,17.161%,24.774%,1.716%,0.874%,0.562%
789,18955,8.989%,12.841%,16.372%,6.581%,12.520%,39.165%,3.531%,0.000%,18.957346%,2.357%
790,18960,1.597%,0.662%,9.582%,20.420%,9.400%,14.237%,37.577%,5.179%,0.730%,0.616%
791,18962,0.948%,0.000%,17.536%,9.953%,9.005%,19.905%,39.336%,3.318%,0.000%,12.903226%
792,18964,1.386%,1.755%,8.557%,20.754%,5.979%,13.821%,37.045%,8.817%,1.603%,0.282%
793,18966,2.590%,3.348%,12.967%,26.384%,7.747%,18.297%,25.547%,2.172%,0.395%,0.553%
794,18969,1.656%,0.628%,6.719%,20.994%,4.701%,19.585%,36.772%,4.930%,3.102%,0.914%
795,18970,3.537%,23.151%,2.894%,9.968%,53.376%,6.109%,0.000%,0.965%,31.746032%,0.000%
796,18972,2.405%,1.768%,7.426%,23.338%,4.385%,9.760%,42.362%,7.001%,0.778%,0.778%
797,18974,1.269%,1.633%,8.364%,21.855%,9.412%,18.789%,30.633%,5.455%,1.711%,0.877%
798,18976,2.368%,2.683%,11.872%,29.906%,4.722%,17.793%,23.295%,2.608%,4.542%,0.210%
799,18977,17.082%,22.199%,29.322%,0.000%,9.889%,14.938%,44.767442%,24.367%,33.333%,44.767%
800,18980,1.000%,3.500%,12.500%,30.500%,8.000%,6.500%,35.000%,3.000%,4.901961%,34.028%
801,19006,4.484%,8.127%,12.596%,30.013%,5.436%,14.782%,19.154%,3.279%,1.485%,0.645%
802,19007,0.368%,0.339%,3.269%,8.495%,5.006%,17.727%,49.632%,11.572%,3.298%,0.294%
803,19020,0.861%,1.155%,6.467%,20.224%,6.855%,20.192%,36.595%,4.834%,2.173%,0.646%
804,19021,0.000%,0.465%,0.698%,8.866%,5.262%,19.186%,51.453%,11.599%,1.860%,0.610%
805,19030,0.779%,0.528%,3.494%,17.371%,6.762%,23.353%,40.196%,5.631%,1.709%,0.176%
806,19040,0.750%,1.455%,7.777%,23.287%,7.483%,25.934%,26.919%,4.734%,0.941%,0.720%
807,19047,2.101%,2.308%,12.911%,27.841%,7.552%,15.641%,26.170%,4.748%,0.389%,0.339%
808,19053,1.477%,2.275%,6.502%,19.010%,9.564%,19.679%,32.467%,6.782%,1.477%,0.766%
809,19054,0.271%,0.487%,1.607%,15.833%,8.792%,21.123%,43.817%,7.348%,0.361%,0.361%
810,19055,0.551%,0.661%,1.564%,9.031%,6.300%,22.115%,50.066%,8.260%,0.793%,0.661%
811,19056,0.437%,1.811%,8.722%,18.422%,7.993%,20.629%,34.700%,4.080%,2.581%,0.624%
812,19057,0.313%,0.000%,4.787%,12.436%,7.583%,17.273%,47.738%,8.061%,0.609%,1.201%
813,19067,3.992%,5.894%,18.748%,29.751%,5.247%,13.094%,19.229%,3.265%,0.309%,0.470%
814,19440,1.013%,2.610%,10.209%,26.742%,6.432%,13.893%,31.793%,3.838%,2.134%,1.336%
815,17701,0.945%,3.134%,5.166%,14.382%,7.724%,17.900%,39.125%,9.763%,1.123%,0.739%
816,17731,9.709%,25.243%,13.592%,6.796%,5.825%,36.893%,0.000000%,25.000%,17.021%,0.000%
817,17737,0.423%,0.611%,4.374%,11.289%,7.244%,17.121%,47.742%,8.090%,1.834%,1.270%
818,17758,0.612%,1.835%,6.116%,6.116%,15.291%,57.492%,8.257%,3.670%,0.612%,0.000000%
819,17768,1.550%,9.302%,8.527%,10.853%,45.736%,11.628%,12.403%,0.000000%,5.747%,16.854%
820,17774,0.797%,3.187%,7.968%,4.980%,17.729%,46.414%,15.538%,1.793%,1.594%,10.273973%
821,17814,0.229%,0.343%,5.495%,10.189%,5.266%,17.344%,50.086%,7.212%,2.633%,1.202%
822,18614,0.591%,0.000%,1.870%,6.594%,9.252%,16.142%,54.823%,7.677%,3.051%,0.000%
823,18616,1.235%,1.646%,4.938%,5.761%,4.527%,16.049%,52.675%,8.230%,3.704%,1.235%
824,18619,0.000%,0.000%,7.071%,16.162%,9.091%,52.525%,13.131%,2.020%,16.666667%,1.923%
825,18626,3.365%,7.692%,8.173%,8.173%,0.000%,20.673%,38.462%,11.058%,2.404%,15.909091%
826,18628,7.865%,0.000%,11.236%,10.112%,13.483%,49.438%,7.865%,0.000%,20.000000%,6.024%
827,18632,1.508%,7.035%,12.563%,12.060%,56.784%,8.040%,2.010%,0.000%,12.195122%,0.000%
828,18833,0.525%,0.000%,1.181%,6.955%,6.824%,12.861%,61.549%,8.924%,0.919%,0.262%
829,15618,0.357%,3.571%,4.167%,7.500%,18.690%,51.786%,11.667%,1.429%,0.833%,5.382436%
