,county,zipcode
649,Lancaster-County,17606
650,Lancaster-County,19310
651,Lancaster-County,19344
652,Lancaster-County,19362
653,Lancaster-County,19363
654,Lancaster-County,19501
655,Lancaster-County,19540
656,Lancaster-County,19543
657,Lancaster-County,19551
658,McKean-County,15870
659,McKean-County,16333
660,McKean-County,16701
661,McKean-County,16720
662,McKean-County,16724
663,McKean-County,16725
664,McKean-County,16726
665,McKean-County,16727
666,McKean-County,16729
667,McKean-County,16730
668,McKean-County,16731
669,McKean-County,16732
670,McKean-County,16733
671,McKean-County,16735
672,McKean-County,16738
673,McKean-County,16740
674,McKean-County,16743
675,McKean-County,16744
676,McKean-County,16745
677,McKean-County,16748
678,McKean-County,16749
679,McKean-County,16750
680,Susquehanna-County,18407
681,Susquehanna-County,18413
682,Susquehanna-County,18419
683,Susquehanna-County,18421
684,Susquehanna-County,18430
685,Susquehanna-County,18441
686,Susquehanna-County,18446
687,Susquehanna-County,18465
688,Susquehanna-County,18470
689,Susquehanna-County,18623
690,Susquehanna-County,18630
691,Susquehanna-County,18801
692,Susquehanna-County,18812
693,Susquehanna-County,18816
694,Susquehanna-County,18818
695,Susquehanna-County,18821
696,Susquehanna-County,18822
697,Susquehanna-County,18823
698,Susquehanna-County,18824
699,Susquehanna-County,18825
700,Susquehanna-County,18826
701,Susquehanna-County,18828
702,Susquehanna-County,18830
703,Susquehanna-County,18834
704,Susquehanna-County,18842
705,Susquehanna-County,18843
706,Susquehanna-County,18844
707,Susquehanna-County,18847
708,Philadelphia-County,19038
709,Philadelphia-County,19102
710,Philadelphia-County,19103
711,Philadelphia-County,19104
712,Philadelphia-County,19106
713,Philadelphia-County,19107
714,Philadelphia-County,19109
715,Philadelphia-County,19111
716,Philadelphia-County,19112
717,Philadelphia-County,19114
718,Philadelphia-County,19115
719,Philadelphia-County,19116
720,Philadelphia-County,19118
721,Philadelphia-County,19119
722,Philadelphia-County,19120
723,Philadelphia-County,19121
724,Philadelphia-County,19122
725,Philadelphia-County,19123
726,Philadelphia-County,19124
727,Philadelphia-County,19125
728,Philadelphia-County,19126
729,Philadelphia-County,19127
730,Philadelphia-County,19128
731,Philadelphia-County,19129
732,Philadelphia-County,19130
733,Philadelphia-County,19131
734,Philadelphia-County,19132
735,Philadelphia-County,19133
736,Philadelphia-County,19134
737,Philadelphia-County,19135
738,Philadelphia-County,19136
739,Philadelphia-County,19137
740,Philadelphia-County,19138
741,Philadelphia-County,19139
742,Philadelphia-County,19140
743,Philadelphia-County,19141
744,Philadelphia-County,19142
745,Philadelphia-County,19143
746,Philadelphia-County,19144
747,Philadelphia-County,19145
748,Philadelphia-County,19146
749,Philadelphia-County,19147
750,Philadelphia-County,19148
751,Philadelphia-County,19149
752,Philadelphia-County,19150
753,Philadelphia-County,19151
754,Philadelphia-County,19152
755,Philadelphia-County,19153
756,Philadelphia-County,19154
757,Allegheny-County,15003
758,Allegheny-County,15005
759,Allegheny-County,15006
760,Allegheny-County,15007
761,Allegheny-County,15014
762,Allegheny-County,15015
763,Allegheny-County,15017
764,Allegheny-County,15018
765,Allegheny-County,15020
766,Allegheny-County,15024
767,Allegheny-County,15025
768,Allegheny-County,15026
769,Allegheny-County,15028
770,Allegheny-County,15030
771,Allegheny-County,15031
772,Allegheny-County,15034
773,Allegheny-County,15035
774,Allegheny-County,15037
775,Allegheny-County,15044
776,Allegheny-County,15045
777,Allegheny-County,15046
778,Allegheny-County,15047
779,Allegheny-County,15049
780,Allegheny-County,15051
781,Allegheny-County,15056
782,Allegheny-County,15057
783,Allegheny-County,15063
784,Allegheny-County,15064
785,Allegheny-County,15065
786,Allegheny-County,15068
787,Allegheny-County,15071
788,Allegheny-County,15075
789,Allegheny-County,15076
790,Allegheny-County,15082
791,Allegheny-County,15084
792,Allegheny-County,15085
793,Allegheny-County,15086
794,Allegheny-County,15088
795,Allegheny-County,15089
796,Allegheny-County,15090
797,Allegheny-County,15101
798,Allegheny-County,15102
799,Allegheny-County,15104
800,Allegheny-County,15106
801,Allegheny-County,15108
802,Allegheny-County,15110
803,Allegheny-County,15112
804,Allegheny-County,15116
805,Allegheny-County,15120
806,Allegheny-County,15122
807,Allegheny-County,15126
808,Allegheny-County,15129
809,Allegheny-County,15131
810,Allegheny-County,15132
811,Allegheny-County,15133
812,Allegheny-County,15135
813,Allegheny-County,15136
814,Allegheny-County,15137
815,Allegheny-County,15139
816,Allegheny-County,15140
817,Allegheny-County,15142
818,Allegheny-County,15143
819,Allegheny-County,15144
820,Allegheny-County,15145
821,Allegheny-County,15146
822,Allegheny-County,15147
823,Allegheny-County,15148
824,Allegheny-County,15201
825,Allegheny-County,15202
826,Allegheny-County,15203
827,Allegheny-County,15204
828,Allegheny-County,15205
829,Allegheny-County,15206
830,Allegheny-County,15207
831,Allegheny-County,15208
832,Allegheny-County,15209
833,Allegheny-County,15210
834,Allegheny-County,15211
835,Allegheny-County,15212
836,Allegheny-County,15213
837,Allegheny-County,15214
838,Allegheny-County,15215
839,Allegheny-County,15216
840,Allegheny-County,15217
841,Allegheny-County,15218
842,Allegheny-County,15219
843,Allegheny-County,15220
844,Allegheny-County,15221
845,Allegheny-County,15222
846,Allegheny-County,15223
847,Allegheny-County,15224
848,Allegheny-County,15225
849,Allegheny-County,15226
850,Allegheny-County,15227
851,Allegheny-County,15228
852,Allegheny-County,15229
853,Allegheny-County,15232
854,Allegheny-County,15233
855,Allegheny-County,15234
856,Allegheny-County,15235
857,Allegheny-County,15236
858,Allegheny-County,15237
859,Allegheny-County,15238
