,School Number,School,% Advanced,% Proficient,% Basic,% Below Basic,School Name,Assaults on Staff,Assaults on Students,Conduct OSS,county,enrollment
141,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown El Sch,0.0,0.0,1.0,Lancaster,419.0
142,2510,ADAMSTOWN EL SCH,26.14,42.08,22.83,9.05,Adamstown El Sch,0.0,0.0,6.0,Lancaster,436.0
143,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton El Sch,0.0,0.0,0.0,Bucks,528.0
144,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton EL School,0.0,0.0,0.0,Bucks,638.0
145,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton El Sch,0.0,0.0,0.0,Bucks,523.0
146,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton El Sch,0.0,0.0,0.0,Bucks,553.0
147,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton El Sch,0.0,0.0,0.0,Bucks,586.0
148,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton El Sch,0.0,0.0,0.0,Bucks,531.0
149,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton EL School,0.0,0.0,0.0,Bucks,607.0
150,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton EL School,0.0,0.0,0.0,Bucks,599.0
151,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton EL School,0.0,0.0,0.0,Bucks,611.0
152,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton El Sch,0.0,0.0,0.0,Bucks,536.0
153,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton El Sch,0.0,0.0,0.0,Bucks,573.0
154,7519,AFTON EL SCH,52.52,31.23,11.01,5.26,Afton El Sch,0.0,0.0,0.0,Bucks,581.0
155,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,0.0,Chester,9175.0
156,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,0.0,Philadelphia,31.0
157,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,0.0,Chester,9490.0
158,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,0.0,Chester,4484.0
159,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,0.0,Philadelphia,2337.0
160,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,0.0,Philadelphia,772.0
161,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,0.0,Philadelphia,4202.0
162,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,0.0,Chester,8142.0
163,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,0.0,Chester,5861.0
164,7858,AGORA CYBER CS,3.42,15.36,28.74,52.4,Agora Cyber CS,0.0,0.0,1.0,Chester,5883.0
165,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron El Sch,0.0,0.0,1.0,Lancaster,328.0
166,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron EL School,0.0,0.0,0.0,Lancaster,356.0
167,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron El Sch,0.0,0.0,0.0,Lancaster,351.0
168,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron El Sch,0.0,0.0,0.0,Lancaster,327.0
169,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron El Sch,0.0,0.0,3.0,Lancaster,307.0
170,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron El Sch,0.0,0.0,0.0,Lancaster,346.0
171,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron EL School,0.0,0.0,11.0,Lancaster,367.0
172,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron EL School,0.0,0.0,5.0,Lancaster,364.0
173,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron EL School,0.0,0.0,3.0,Lancaster,311.0
174,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron El Sch,0.0,0.0,0.0,Lancaster,339.0
175,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron El Sch,0.0,0.0,2.0,Lancaster,310.0
176,2564,AKRON EL SCH,28.83,39.49,21.05,10.67,Akron El Sch,0.0,0.0,0.0,Lancaster,291.0
