,School Number,Cluster,County,School
349,6289,2,LANCASTER,COCALICO MS
1869,2312,2,HUNTINGDON,SPRING FARMS EL SCH
1868,5130,2,BLAIR,SPRING COVE MS
1193,5007,2,BUCKS,MCDONALD EL SCH
1850,3056,2,LYCOMING,SOUTH WILLIAMSPORT AREA JSHS
1194,6976,2,WASHINGTON,MCGUFFEY MS
399,6944,2,ALLEGHENY,CORNELL EL SCH
404,1997,2,ERIE,CORRY AREA INTERMEDIATE SCH
1873,4622,2,YORK,SPRING GROVE AREA IN
2124,7270,2,WESTMORELAND,WEST HEMPFIELD MS
421,3073,2,LYCOMING,CURTIN MS
1892,7620,2,HUNTINGDON,STANDINGSTONE EL
440,6579,2,ARMSTRONG,DAVID LEECH EL SCH
1891,2226,2,FRANKLIN,ST THOMAS EL SCH
343,6236,2,CLEARFIELD,CLEARFIELD AREA JSHS
1890,1992,2,ELK,ST MARYS AREA MS
1889,8219,2,BRADFORD,SRU EL SCH
1151,3408,2,MONTGOMERY,MARSHALL STREET EL SCH
1269,2391,2,JUNIATA,MONROE TWP EL SCH
436,3424,2,MONTOUR,DANVILLE AREA MS
1848,6937,2,BEAVER,SOUTH SIDE MS
1267,1164,2,BUTLER,MONITEAU JSHS
434,7544,2,BERKS,DANIEL BOONE AREA MS
1156,936,2,BLAIR,MARTINSBURG EL SCH
344,6837,2,YORK,CLEARVIEW EL SCH
433,2878,2,LUZERNE,DANA EL CTR
1881,29,2,ALLEGHENY,SPRINGDALE JSHS
426,7226,2,PHILADELPHIA,D NEWLIN FELL SCHOOL
425,2116,2,FAYETTE,D FERD SWANEY EL SCH
1029,7642,2,MONROE,LEHMAN INTERMEDIATE
2128,7694,2,ALLEGHENY,WEST LIBERTY ELEM SCH
351,5037,2,CRAWFORD,COCHRANTON AREA EL SCH
1199,8242,2,YORK,MCKINLEY SCH
1260,6583,2,SCHUYLKILL,MINERSVILLE AREA JSH
1234,1785,2,DAUPHIN,MIDDLETOWN AREA MIDDLE SCHOOL
1235,6566,2,BEAVER,MIDLAND EL/MS
368,7450,2,MERCER,COMMODORE PERRY SCH
367,6122,2,MERCER,COMMODORE PERRY JSHS
365,3760,2,PHILADELPHIA,COMLY WATSON SCH
359,7628,2,CHESTER,COLLEGIUM CS
1242,6809,2,UNION,MIFFLINBURG AREA MS
358,24,2,ALLEGHENY,COLFAX UPPER EL SCH
370,330,2,ALLEGHENY,CONCORD EL SCH
356,762,2,BERKS,COLEBROOKDALE EL SCH
1852,7668,2,COLUMBIA,SOUTHERN COLUMBIA MS
1851,2746,2,LEBANON,SOUTHEAST EL SCH
2141,7640,2,ARMSTRONG,WEST SHAMOKIN JSHS
1251,6010,2,GREENE,MILLER MS
