,County,School,% Advanced,% Proficient,% Basic,% Below Basic
370,ALLEGHENY,CONCORD EL SCH,16.99,31.18,28.89,22.93
371,SOMERSET,CONEMAUGH TWP AREA EL SCH,35.26,46.29,15.5,2.91
372,SOMERSET,CONEMAUGH TWP AREA J,21.44,34.99,29.85,13.69
373,CAMBRIA,CONEMAUGH VALLEY EL,19.96,40.36,24.11,15.57
374,CAMBRIA,CONEMAUGH VALLEY JSH,10.5,38.59,30.33,20.62
375,LANCASTER,CONESTOGA EL SCH,36.03,38.12,16.23,9.66
376,LANCASTER,CONESTOGA VALLEY MS,24.32,35.94,25.3,14.52
377,YORK,CONEWAGO EL SCH,27.43,38.78,20.04,13.72
378,ADAMS,CONEWAGO TWP EL SCH,23.45,44.55,20.7,11.3
379,ADAMS,CONEWAGO VALLEY INTRMD SCH,28.37,39.22,23.72,8.73
380,CRAWFORD,CONNEAUT LAKE MS,12.33,30.06,31.0,26.62
381,CRAWFORD,CONNEAUT LAKE-SADSBU,32.76,38.07,18.58,10.57
382,CRAWFORD,CONNEAUT VALLEY EL SCH,25.5,38.26,18.98,17.31
383,CRAWFORD,CONNEAUT VALLEY MS,10.71,31.39,35.2,22.7
384,ERIE,CONNELL EL SCH,10.55,36.86,31.33,21.26
385,FAYETTE,CONNELLSVILLE JHS EA,8.31,26.28,31.25,34.11
386,FAYETTE,CONNELLSVILLE TWP EL,8.52,36.9,38.99,15.59
387,BUTLER,CONNOQUENESSING EL SCH,37.17,39.07,18.8,4.96
388,BUTLER,CONNOQUENESSING VALL,38.2,44.67,13.97,3.16
389,BERKS,CONRAD WEISER EAST ELEM,26.02,41.52,23.36,9.06
390,BERKS,CONRAD WEISER MIDDLE SCHOOL,12.79,37.69,32.96,16.5
391,BERKS,CONRAD WEISER WEST ELEM,16.96,37.88,28.47,16.69
392,MONTGOMERY,CONSHOHOCKEN EL SCH,37.5,41.25,12.5,8.75
393,PHILADELPHIA,CONWELL RUSSELL MS,7.43,31.41,36.78,24.42
394,PHILADELPHIA,COOK-WISSAHICKON SCH,8.07,30.76,33.19,27.97
395,PHILADELPHIA,COOKE JAY MS,0.18,7.13,29.38,63.39
396,DELAWARE,COOPERTOWN EL SCH,43.03,35.21,15.88,5.93
397,MONTGOMERY,COPPER BEECH EL SCH,33.29,41.88,17.89,6.84
