,County,Higher Degree (Female),Higher Degree (Male),H.S. Diploma (Female),H.S. Diploma (Male),No H.S. Diploma (Female),No H.S. Diploma (Male)
1178,17777,25.837%,20.302%,62.317%,67.346%,11.847%,12.352%
1179,17801,23.240%,20.871%,62.090%,62.511%,14.670%,16.618%
1180,17821,35.437%,37.971%,54.676%,52.678%,9.887%,9.350%
1181,17823,25.694%,17.967%,60.185%,70.922%,14.120%,11.111%
1182,17824,37.683%,35.294%,51.919%,60.639%,10.398%,4.067%
1183,17830,24.040%,14.815%,62.731%,69.959%,13.229%,15.226%
1184,17832,24.535%,15.289%,64.312%,68.182%,11.152%,16.529%
1185,17834,23.345%,22.429%,63.972%,62.214%,12.683%,15.357%
1186,17836,26.829%,13.580%,70.732%,67.901%,2.439%,18.519%
1187,17840,4.762%,35.000%,92.063%,48.333%,3.175%,16.667%
1188,17847,25.034%,22.572%,59.530%,63.702%,15.436%,13.726%
1189,17850,14.844%,21.250%,71.875%,61.250%,13.281%,17.500%
1190,17851,19.069%,26.926%,65.040%,61.595%,15.891%,11.479%
1191,17857,28.757%,27.790%,63.334%,58.464%,7.908%,13.745%
1192,17860,29.595%,29.955%,59.653%,56.125%,10.751%,13.920%
1193,17865,0.000%,25.806%,100.000%,35.484%,0.000%,38.710%
1194,17866,18.542%,10.308%,63.012%,65.578%,18.446%,24.115%
1195,17867,29.508%,18.182%,70.492%,68.182%,0.000%,13.636%
1196,17868,40.214%,34.985%,53.351%,59.752%,6.434%,5.263%
1197,17872,22.194%,12.630%,61.738%,77.883%,16.068%,9.488%
1198,17881,19.718%,13.019%,65.594%,75.094%,14.688%,11.887%
1199,17941,27.165%,14.430%,62.992%,73.490%,9.843%,12.081%
1200,17964,30.392%,26.712%,59.477%,65.753%,10.131%,7.534%
1201,15711,31.618%,11.518%,68.382%,77.487%,0.000%,10.995%
1202,15715,27.523%,27.152%,68.807%,64.901%,3.670%,7.947%
1203,15730,26.087%,15.789%,39.130%,84.211%,34.783%,0.000%
1204,15733,41.463%,15.000%,51.220%,85.000%,7.317%,0.000%
1205,15744,22.917%,42.373%,66.667%,42.373%,10.417%,15.254%
1206,15764,29.231%,23.214%,60.000%,66.071%,10.769%,10.714%
1207,15767,27.068%,22.416%,60.382%,62.497%,12.550%,15.087%
1208,15770,16.867%,14.667%,34.940%,52.000%,48.193%,33.333%
1209,15776,15.000%,14.286%,65.000%,60.714%,20.000%,25.000%
1210,15778,13.043%,13.235%,73.913%,80.882%,13.043%,5.882%
1211,15780,11.667%,17.742%,83.333%,79.032%,5.000%,3.226%
1212,15781,73.913%,67.568%,26.087%,32.432%,0.000%,8.108%
1213,15784,29.630%,10.526%,70.370%,78.947%,0.000%,10.526%
1214,15823,33.272%,25.092%,57.353%,69.557%,9.375%,5.351%
1215,15824,29.315%,27.029%,62.854%,63.148%,7.831%,9.823%
1216,15825,27.458%,25.792%,63.153%,62.804%,9.389%,11.405%
1217,15828,31.776%,29.457%,56.075%,62.791%,12.150%,7.752%
1218,15829,32.406%,22.998%,61.233%,70.637%,6.362%,6.366%
1219,15840,23.464%,23.930%,69.274%,71.524%,7.263%,4.545%
1220,15847,0.000%,8.140%,85.417%,53.488%,14.583%,38.372%
1221,15851,20.749%,19.632%,68.403%,70.445%,10.848%,9.923%
1222,15853,31.085%,27.191%,60.787%,67.268%,8.128%,5.541%
1223,15860,27.685%,19.114%,62.053%,70.163%,10.263%,10.723%
1224,15863,6.723%,7.778%,79.832%,74.444%,13.445%,17.778%
1225,15864,24.918%,26.979%,68.361%,61.228%,6.721%,11.793%
1226,15865,28.228%,23.718%,58.862%,63.248%,12.910%,13.034%
1227,16217,36.364%,32.500%,51.515%,67.500%,12.121%,0.000%
1228,16222,21.402%,19.455%,63.469%,62.577%,15.129%,17.968%
1229,16240,13.843%,12.903%,71.694%,73.589%,14.463%,13.508%
1230,15829,32.406%,22.998%,61.233%,70.637%,6.362%,6.366%
1231,15860,27.685%,19.114%,62.053%,70.163%,10.263%,10.723%
1232,15864,24.918%,26.979%,68.361%,61.228%,6.721%,11.793%
1233,16028,22.346%,21.053%,65.084%,67.425%,12.570%,11.522%
1234,16036,34.737%,33.333%,56.842%,52.778%,8.421%,13.889%
1235,16049,19.108%,16.004%,71.065%,69.195%,9.827%,14.801%
1236,16054,18.000%,16.779%,60.667%,67.785%,21.333%,15.436%
1237,16213,14.545%,0.000%,61.818%,87.755%,23.636%,12.245%
1238,16214,43.528%,44.414%,47.654%,45.909%,8.819%,9.677%
1239,16224,23.226%,21.077%,59.785%,58.080%,16.989%,20.843%
1240,16230,14.286%,12.712%,61.310%,71.186%,24.405%,16.102%
1241,16232,30.081%,25.089%,60.475%,62.902%,9.443%,12.009%
1242,16233,29.106%,29.932%,64.865%,56.916%,6.029%,13.152%
1243,16235,38.972%,24.059%,54.176%,63.808%,6.852%,12.134%
1244,16240,13.843%,12.903%,71.694%,73.589%,14.463%,13.508%
1245,16242,22.345%,23.950%,63.711%,60.000%,13.944%,16.050%
1246,16248,19.606%,20.039%,66.338%,66.994%,14.056%,12.967%
1247,16254,33.917%,31.637%,56.131%,60.221%,9.952%,8.142%
1248,16255,27.548%,22.417%,64.331%,66.137%,8.121%,11.447%
1249,16258,28.624%,18.905%,61.267%,63.682%,10.110%,17.413%
1250,16260,28.302%,33.588%,50.943%,66.412%,20.755%,0.000%
1251,16319,24.893%,18.103%,65.880%,78.448%,9.227%,3.448%
1252,16326,35.616%,15.484%,64.384%,80.645%,0.000%,3.871%
1253,16331,53.846%,23.333%,34.615%,76.667%,11.538%,0.000%
1254,16332,10.526%,0.000%,63.158%,100.000%,26.316%,0.000%
1255,16334,27.559%,17.094%,69.291%,70.085%,3.150%,12.821%
1256,16353,23.225%,21.927%,63.148%,58.604%,13.628%,19.469%
1257,16361,31.250%,10.811%,0.000%,62.162%,68.750%,27.027%
1258,16364,23.810%,18.310%,65.714%,67.136%,10.476%,14.554%
1259,16373,26.325%,25.416%,64.553%,64.510%,9.123%,10.074%
1260,18403,41.454%,44.216%,47.607%,51.008%,10.939%,4.777%
1261,18407,29.318%,24.248%,60.571%,63.412%,10.111%,12.340%
1262,18411,50.726%,56.017%,45.064%,39.613%,4.210%,4.370%
1263,18414,43.725%,43.743%,53.062%,50.683%,3.213%,5.573%
1264,18419,39.382%,30.176%,55.148%,61.659%,5.470%,8.165%
1265,18420,60.000%,100.000%,40.000%,0.000%,40.000%,0.000%
1266,18421,27.186%,25.069%,64.668%,63.394%,8.146%,11.536%
1267,18424,34.433%,32.896%,59.845%,57.450%,5.722%,9.654%
1268,18433,34.453%,38.221%,58.340%,55.488%,7.206%,6.291%
1269,18434,37.655%,39.826%,54.658%,51.465%,7.687%,8.709%
1270,18436,30.626%,30.786%,61.576%,60.623%,7.798%,8.591%
1271,18444,38.015%,35.574%,55.038%,55.463%,6.947%,8.963%
1272,18446,31.926%,21.355%,60.553%,64.861%,7.521%,13.785%
1273,18447,37.939%,34.194%,52.940%,60.882%,9.121%,4.923%
1274,18452,32.089%,38.204%,58.459%,56.396%,9.452%,5.401%
1275,18471,86.555%,80.193%,13.445%,19.807%,1.261%,4.348%
1276,18503,34.028%,32.524%,52.431%,49.353%,13.542%,18.123%
1277,18504,27.489%,26.762%,59.663%,61.003%,12.848%,12.235%
1278,18505,29.320%,29.995%,55.703%,52.450%,14.976%,17.555%
1279,18507,37.153%,39.786%,52.590%,49.198%,10.256%,11.016%
1280,18508,17.120%,22.577%,66.565%,66.402%,16.315%,11.020%
1281,18509,38.033%,36.041%,51.559%,50.060%,10.408%,13.899%
1282,18510,37.045%,37.582%,47.504%,43.241%,15.450%,19.178%
1283,18512,33.729%,39.293%,60.418%,53.417%,5.853%,7.291%
1284,18517,25.142%,24.728%,66.415%,60.675%,8.443%,14.596%
1285,18518,31.479%,35.328%,60.880%,57.263%,7.641%,7.409%
1286,18519,28.939%,32.481%,61.768%,58.915%,9.293%,8.603%
1287,18615,28.816%,24.043%,65.621%,66.769%,5.563%,9.188%
1288,18641,31.638%,32.620%,61.367%,58.515%,6.995%,8.865%
1289,18653,13.793%,15.625%,74.138%,84.375%,12.069%,0.000%
1290,07881,-100.000000%,0.000%,0.000000%,0.000000%,0.000000%,33.333333%
1291,18302,31.056%,30.833%,60.172%,59.081%,8.772%,10.086%
1292,18324,30.009%,23.942%,52.137%,61.248%,17.854%,14.810%
1293,18325,32.110%,34.881%,64.908%,58.824%,2.982%,6.295%
1294,18328,28.360%,25.893%,60.830%,58.073%,10.810%,16.034%
1295,18336,31.686%,30.949%,57.296%,59.098%,11.018%,9.953%
1296,18337,41.897%,32.638%,52.784%,60.227%,5.319%,7.136%
1297,18340,77.358%,53.333%,13.208%,38.333%,9.434%,8.333%
1298,18371,44.476%,55.052%,55.524%,44.948%,11.048%,18.118%
1299,18405,35.234%,20.255%,55.295%,70.308%,9.470%,9.438%
1300,18425,34.521%,20.367%,57.461%,69.043%,8.018%,10.591%
1301,18426,32.412%,35.524%,64.235%,58.462%,3.353%,6.014%
1302,18428,34.175%,27.000%,58.099%,64.551%,7.726%,8.449%
1303,18435,63.281%,37.748%,25.000%,56.291%,11.719%,5.960%
1304,18445,30.189%,31.190%,59.198%,60.940%,10.613%,7.869%
1305,18451,42.009%,48.963%,56.164%,39.004%,1.826%,12.033%
1306,18457,78.205%,82.558%,21.795%,17.442%,28.205%,19.767%
1307,18458,46.147%,36.823%,47.744%,51.895%,6.109%,11.282%
1308,18460,40.678%,29.730%,59.322%,44.595%,0.000%,25.676%
1309,18464,45.197%,39.887%,52.620%,51.607%,2.183%,8.507%
1310,19003,70.134%,62.070%,24.444%,31.397%,5.423%,6.534%
1311,19008,44.802%,45.630%,47.973%,46.813%,7.224%,7.557%
1312,19010,72.348%,81.663%,25.234%,16.817%,2.418%,1.520%
1313,19013,18.459%,12.146%,63.127%,65.400%,18.415%,22.454%
1314,19014,38.708%,36.863%,53.994%,55.973%,7.298%,7.164%
1315,19015,33.054%,29.417%,57.874%,55.244%,9.073%,15.338%
1316,19017,55.357%,37.963%,34.821%,62.037%,9.821%,0.000%
1317,19018,34.873%,30.578%,59.563%,59.851%,5.563%,9.570%
1318,19022,19.378%,19.573%,69.697%,67.438%,10.925%,12.989%
1319,19023,25.185%,24.742%,61.250%,65.006%,13.565%,10.252%
1320,19026,51.941%,45.840%,44.454%,49.336%,3.605%,4.825%
1321,19029,21.753%,19.210%,68.095%,74.336%,10.152%,6.454%
1322,19032,38.443%,26.036%,53.726%,64.089%,7.830%,9.874%
1323,19033,40.775%,30.094%,54.289%,63.381%,4.935%,6.526%
1324,19036,32.648%,27.134%,61.167%,62.850%,6.185%,10.016%
1325,19041,79.598%,85.587%,18.178%,13.799%,2.224%,0.615%
1326,19043,33.367%,22.524%,58.342%,68.770%,8.291%,8.705%
1327,19050,44.276%,35.055%,47.953%,56.901%,7.771%,8.044%
1328,19060,59.058%,58.315%,39.771%,39.951%,1.171%,1.733%
1329,19061,27.882%,23.322%,63.013%,63.797%,9.105%,12.881%
1330,19063,60.963%,64.319%,36.399%,32.198%,2.638%,3.484%
1331,19064,52.325%,51.479%,43.574%,43.396%,4.100%,5.124%
1332,19070,41.369%,45.447%,52.104%,44.183%,6.526%,10.370%
1333,19073,61.154%,68.484%,35.580%,28.926%,3.266%,2.589%
1334,19074,31.914%,30.188%,59.912%,63.369%,8.174%,6.443%
1335,19076,35.445%,26.045%,57.848%,62.163%,6.707%,11.792%
1336,19078,34.821%,32.460%,57.206%,58.594%,7.974%,8.947%
1337,19079,29.211%,19.027%,61.901%,75.068%,8.889%,5.905%
1338,19081,60.991%,63.954%,35.165%,33.774%,3.844%,2.272%
1339,19082,28.387%,29.590%,54.975%,53.571%,16.638%,16.839%
1340,19083,59.265%,57.964%,38.016%,37.546%,2.718%,4.490%
1341,19085,81.421%,85.380%,17.978%,14.239%,0.601%,0.380%
1342,19086,68.095%,64.636%,27.142%,33.092%,4.763%,2.272%
1343,19087,77.697%,80.658%,20.191%,16.315%,2.113%,3.027%
1344,19094,29.793%,14.973%,56.580%,70.985%,13.627%,14.042%
1345,19096,80.780%,88.990%,17.850%,10.397%,1.370%,0.613%
1346,19113,21.739%,15.556%,78.261%,68.889%,0.000%,15.556%
1347,19312,83.646%,85.598%,14.737%,12.484%,1.616%,1.919%
1348,19317,71.404%,73.207%,27.177%,25.969%,1.418%,0.824%
1349,19319,12.329%,15.584%,87.671%,84.416%,0.000%,15.584%
1350,19342,60.356%,64.423%,37.629%,33.015%,2.015%,2.562%
1351,19373,53.574%,33.941%,37.256%,46.453%,9.170%,19.606%
1352,19382,64.285%,65.138%,31.864%,30.715%,3.851%,4.147%
1353,17756,26.480%,34.909%,57.347%,52.792%,16.173%,12.300%
1354,17772,25.397%,22.000%,61.111%,61.000%,13.492%,17.000%
1355,17777,25.837%,20.302%,62.317%,67.346%,11.847%,12.352%
1356,17815,34.790%,32.958%,57.783%,56.095%,7.428%,10.947%
1357,17820,34.261%,33.764%,57.486%,58.893%,8.253%,7.342%
1358,17821,35.437%,37.971%,54.676%,52.678%,9.887%,9.350%
1359,17822,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1360,17847,25.034%,22.572%,59.530%,63.702%,15.436%,13.726%
1361,17884,19.231%,3.704%,67.308%,75.309%,13.462%,20.988%
1362,18407,29.318%,24.248%,60.571%,63.412%,10.111%,12.340%
1363,18413,0.000%,7.576%,52.041%,68.182%,47.959%,24.242%
1364,18419,39.382%,30.176%,55.148%,61.659%,5.470%,8.165%
1365,18421,27.186%,25.069%,64.668%,63.394%,8.146%,11.536%
1366,18430,0.000%,50.000%,100.000%,50.000%,0.000%,50.000%
1367,18441,8.547%,8.791%,76.068%,91.209%,15.385%,0.000%
1368,18446,31.926%,21.355%,60.553%,64.861%,7.521%,13.785%
1369,18465,30.522%,29.979%,58.434%,56.317%,11.044%,13.704%
1370,18470,39.824%,29.820%,55.051%,59.383%,5.124%,10.797%
1371,18623,18.938%,16.052%,68.136%,66.161%,12.926%,17.787%
1372,18630,18.545%,14.884%,75.364%,68.360%,6.091%,16.756%
1373,18801,33.475%,27.188%,60.222%,63.749%,6.303%,9.063%
1374,18812,40.799%,33.942%,54.167%,56.925%,5.035%,9.132%
1375,18816,42.500%,36.957%,47.500%,54.348%,10.000%,8.696%
1376,18818,27.950%,23.374%,55.901%,65.041%,16.149%,11.585%
1377,18821,18.458%,15.330%,72.196%,68.160%,9.346%,16.509%
1378,18822,23.662%,18.395%,62.839%,67.666%,13.499%,13.938%
1379,18823,25.532%,20.635%,57.447%,52.381%,17.021%,26.984%
1380,18824,25.880%,15.547%,66.667%,72.553%,7.453%,11.900%
1381,18825,46.341%,41.667%,43.902%,43.750%,9.756%,14.583%
1382,18826,27.598%,22.542%,67.121%,65.658%,5.281%,11.800%
1383,18828,24.176%,8.219%,72.527%,42.466%,3.297%,49.315%
1384,18830,25.385%,20.455%,60.769%,65.152%,13.846%,14.394%
1385,18834,27.736%,19.103%,63.241%,68.445%,9.023%,12.452%
1386,18842,22.124%,40.594%,75.221%,56.436%,2.655%,2.970%
1387,18843,15.254%,28.571%,84.746%,71.429%,15.254%,0.000%
1388,18844,23.677%,21.856%,66.713%,61.826%,9.610%,16.317%
1389,18847,25.803%,21.630%,63.778%,64.741%,10.419%,13.630%
1390,18041,38.633%,36.050%,55.494%,57.329%,5.873%,6.621%
1391,18054,36.856%,32.163%,60.334%,60.179%,2.809%,7.658%
1392,18070,19.346%,5.689%,80.654%,82.635%,0.000%,11.677%
1393,18073,44.691%,35.101%,48.494%,56.604%,6.815%,8.295%
1394,18074,48.529%,35.220%,43.459%,56.829%,8.013%,7.951%
1395,18076,38.383%,34.512%,49.907%,59.847%,11.710%,5.641%
1396,18915,42.568%,50.558%,53.716%,40.520%,3.716%,8.922%
1397,18936,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1398,18964,41.099%,38.432%,50.159%,50.867%,8.742%,10.702%
1399,18969,39.071%,34.697%,51.242%,56.357%,9.687%,8.946%
1400,19001,51.436%,47.158%,43.370%,47.052%,5.194%,5.790%
1401,19002,66.591%,64.940%,29.455%,30.974%,3.954%,4.086%
1402,19003,70.134%,62.070%,24.444%,31.397%,5.423%,6.534%
1403,19004,75.959%,77.760%,21.226%,18.358%,2.815%,3.882%
1404,19006,56.205%,60.656%,37.584%,33.936%,6.211%,5.408%
1405,19009,71.713%,61.161%,28.287%,33.929%,0.000%,4.911%
1406,19010,72.348%,81.663%,25.234%,16.817%,2.418%,1.520%
1407,19012,58.173%,52.997%,36.050%,42.870%,5.777%,4.133%
1408,19025,72.782%,82.282%,23.928%,15.798%,3.290%,1.920%
1409,19027,59.784%,59.649%,36.829%,35.837%,3.386%,4.514%
1410,19031,64.557%,59.038%,30.169%,35.833%,5.274%,5.128%
1411,19034,69.680%,65.651%,25.669%,30.467%,4.651%,3.882%
1412,19035,76.314%,86.381%,22.229%,11.663%,1.457%,1.956%
1413,19038,59.295%,57.322%,35.943%,37.834%,4.762%,4.844%
1414,19040,43.141%,40.753%,51.568%,52.852%,5.291%,6.395%
1415,19041,79.598%,85.587%,18.178%,13.799%,2.224%,0.615%
1416,19044,52.045%,48.721%,42.163%,43.437%,5.793%,7.841%
1417,19046,65.595%,65.469%,31.854%,31.398%,2.551%,3.133%
1418,19066,88.251%,91.577%,10.221%,7.945%,1.528%,0.478%
1419,19072,79.705%,84.085%,17.718%,14.804%,2.577%,1.111%
1420,19075,59.224%,60.966%,39.707%,35.462%,1.069%,3.571%
1421,19083,59.265%,57.964%,38.016%,37.546%,2.718%,4.490%
1422,19085,81.421%,85.380%,17.978%,14.239%,0.601%,0.380%
1423,19087,77.697%,80.658%,20.191%,16.315%,2.113%,3.027%
1424,19090,44.267%,40.617%,49.871%,51.120%,5.862%,8.263%
1425,19095,60.939%,52.929%,32.472%,38.103%,6.589%,8.968%
1426,19096,80.780%,88.990%,17.850%,10.397%,1.370%,0.613%
1427,19118,72.779%,69.841%,22.672%,24.321%,4.549%,5.838%
1428,19150,39.905%,24.259%,52.677%,64.163%,7.417%,11.579%
1429,19401,31.206%,31.226%,52.571%,50.249%,16.223%,18.525%
1430,19403,53.587%,48.627%,40.509%,45.363%,5.904%,6.010%
1431,19405,37.422%,24.577%,49.062%,62.862%,13.516%,12.561%
1432,19406,56.306%,66.903%,38.298%,28.372%,5.396%,4.725%
1433,19422,62.814%,68.340%,34.819%,28.330%,2.368%,3.330%
1434,19426,62.041%,51.833%,36.237%,40.633%,1.722%,7.534%
1435,19428,56.211%,61.359%,39.128%,32.926%,4.660%,5.715%
1436,19435,67.857%,84.375%,32.143%,15.625%,50.000%,15.625%
1437,19436,68.639%,79.487%,28.107%,20.513%,3.254%,0.000%
1438,19437,85.000%,79.775%,15.000%,20.225%,2.857%,24.345%
1439,19438,54.805%,55.662%,41.324%,39.018%,3.871%,5.320%
1440,19440,47.163%,47.006%,42.480%,45.686%,10.357%,7.307%
1441,19444,67.594%,69.391%,29.241%,27.751%,3.164%,2.858%
1442,19446,53.328%,57.501%,40.362%,37.570%,6.310%,4.929%
1443,19453,47.619%,43.555%,52.381%,50.781%,0.000%,5.664%
1444,19454,60.625%,62.954%,35.340%,33.699%,4.035%,3.347%
1445,19456,57.529%,61.686%,42.471%,23.372%,0.000%,14.943%
1446,19460,61.326%,56.631%,35.215%,37.108%,3.458%,6.261%
1447,19462,53.229%,52.473%,38.905%,41.749%,7.866%,5.778%
1448,19464,36.336%,30.771%,52.914%,57.130%,10.750%,12.100%
1449,19468,50.524%,47.651%,45.390%,46.584%,4.086%,5.765%
1450,19472,-100.000000%,0.000%,0.000000%,0.000000%,0.000000%,13.020590%
1451,19473,50.982%,48.712%,44.299%,44.066%,4.719%,7.222%
1452,19474,29.740%,86.275%,70.260%,7.843%,0.000%,5.882%
1453,19477,25.000%,11.111%,60.000%,68.889%,15.000%,20.000%
1454,19492,29.545%,41.935%,53.788%,40.323%,16.667%,17.742%
1455,19504,42.933%,28.807%,53.044%,64.324%,4.023%,6.869%
1456,19505,30.354%,25.641%,58.600%,67.462%,11.046%,6.897%
1457,19512,30.474%,25.917%,58.439%,61.011%,11.087%,13.072%
1458,19525,49.353%,48.443%,45.930%,46.906%,4.717%,4.651%
1459,15003,30.067%,30.251%,61.258%,60.606%,8.676%,9.143%
1460,15005,38.956%,39.510%,55.666%,54.142%,5.379%,6.348%
1461,15006,55.856%,56.311%,44.144%,43.689%,9.910%,10.680%
1462,15007,70.787%,38.255%,29.213%,61.745%,0.000%,4.027%
1463,15014,30.814%,26.074%,63.787%,63.536%,5.399%,10.390%
1464,15015,78.097%,74.573%,20.796%,22.009%,1.106%,3.419%
1465,15017,45.534%,50.654%,48.576%,43.734%,5.890%,5.612%
1466,15018,19.216%,23.823%,77.647%,69.529%,3.137%,6.648%
1467,15020,46.237%,38.583%,53.763%,57.480%,0.000%,3.937%
1468,15024,41.561%,42.649%,51.757%,51.210%,6.682%,6.141%
1469,15025,41.782%,46.182%,52.986%,48.574%,5.233%,5.244%
1470,15026,30.653%,30.692%,65.662%,60.923%,3.685%,8.385%
1471,15028,22.034%,13.793%,71.186%,74.138%,6.780%,12.069%
1472,15030,29.971%,37.527%,61.671%,53.092%,8.357%,9.382%
1473,15031,18.041%,8.190%,52.062%,75.431%,29.897%,16.379%
1474,15034,30.588%,22.995%,63.922%,71.558%,5.490%,5.446%
1475,15035,27.611%,29.326%,68.307%,65.543%,4.082%,5.132%
1476,15037,38.315%,33.782%,57.094%,59.591%,4.591%,6.627%
1477,15044,60.973%,64.268%,35.078%,33.601%,3.949%,2.131%
1478,15045,23.664%,27.332%,65.825%,62.549%,10.511%,10.118%
1479,15046,41.427%,42.512%,50.446%,53.687%,8.127%,3.802%
1480,15047,43.333%,100.000%,56.667%,0.000%,0.000%,54.286%
1481,15049,29.024%,30.795%,64.878%,56.954%,6.098%,12.252%
1482,15051,47.449%,43.750%,41.837%,35.714%,10.714%,20.536%
1483,15056,41.595%,39.500%,50.216%,49.500%,8.190%,11.000%
1484,15057,45.032%,45.268%,48.102%,47.361%,6.866%,7.372%
1485,15063,36.275%,33.179%,55.169%,59.205%,8.555%,7.615%
1486,15064,37.500%,28.571%,62.500%,60.440%,0.000%,10.989%
1487,15065,35.388%,35.917%,58.514%,58.333%,6.098%,5.750%
1488,15068,35.879%,36.747%,55.810%,54.011%,8.311%,9.242%
1489,15071,46.443%,51.698%,47.755%,43.854%,5.802%,4.449%
1490,15075,39.583%,0.000%,60.417%,100.000%,39.583%,0.000%
1491,15076,30.267%,30.390%,42.136%,46.494%,27.596%,23.117%
1492,15082,27.273%,0.000%,72.727%,100.000%,27.273%,0.000%
1493,15084,32.675%,29.266%,59.265%,64.733%,8.059%,6.001%
1494,15085,43.556%,42.279%,52.365%,53.444%,4.078%,4.277%
1495,15086,100.000%,34.161%,0.000%,65.839%,32.692%,13.665%
1496,15088,28.070%,9.605%,55.556%,85.876%,16.374%,4.520%
1497,15089,31.900%,30.062%,59.783%,64.296%,8.317%,5.642%
1498,15090,71.790%,82.607%,26.565%,16.631%,1.645%,0.762%
1499,15101,55.318%,62.903%,40.027%,33.608%,4.655%,3.489%
1500,15102,52.076%,58.651%,43.262%,37.474%,4.662%,3.876%
1501,15104,25.835%,17.624%,60.680%,70.385%,13.485%,11.991%
1502,15106,40.276%,40.479%,55.310%,54.373%,4.413%,5.149%
1503,15108,51.366%,54.922%,41.073%,38.760%,7.561%,6.318%
1504,15110,21.673%,19.020%,65.650%,73.055%,12.678%,7.925%
1505,15112,29.811%,36.498%,63.801%,53.270%,6.388%,10.232%
1506,15116,50.271%,52.573%,46.499%,42.334%,3.230%,5.092%
1507,15120,35.978%,37.814%,57.226%,54.105%,6.796%,8.081%
1508,15122,34.833%,33.662%,59.260%,59.581%,5.908%,6.757%
1509,15126,50.852%,48.430%,42.370%,40.620%,6.778%,10.950%
1510,15129,48.769%,56.191%,48.355%,41.383%,2.876%,2.426%
1511,15131,29.604%,47.274%,65.318%,47.696%,5.078%,5.030%
1512,15132,23.276%,20.634%,64.557%,64.953%,12.167%,14.413%
1513,15133,29.412%,21.623%,61.745%,73.377%,8.843%,5.000%
1514,15135,34.777%,40.108%,60.081%,58.153%,5.142%,1.739%
1515,15136,34.227%,37.378%,56.576%,53.248%,9.197%,9.375%
1516,15137,32.660%,26.732%,61.662%,66.507%,5.678%,6.761%
1517,15139,51.520%,61.109%,41.734%,34.303%,6.746%,4.589%
1518,15140,32.075%,24.428%,61.242%,63.617%,6.682%,11.954%
1519,15142,73.361%,74.788%,26.639%,22.458%,0.000%,2.754%
1520,15143,66.707%,66.090%,29.971%,30.273%,3.323%,3.636%
1521,15144,35.113%,28.262%,58.619%,66.261%,6.268%,5.477%
1522,15145,26.993%,39.393%,65.252%,58.612%,7.754%,1.996%
1523,15146,47.172%,51.976%,47.664%,43.483%,5.164%,4.541%
1524,15147,41.296%,39.441%,49.993%,52.253%,8.711%,8.306%
1525,15148,18.191%,24.085%,67.934%,70.956%,13.875%,4.959%
1526,15201,55.650%,51.107%,36.267%,42.188%,8.083%,6.705%
1527,15202,49.564%,47.567%,45.647%,45.812%,4.789%,6.620%
1528,15203,55.769%,60.914%,37.927%,34.285%,6.303%,4.801%
1529,15204,31.629%,34.812%,58.339%,56.541%,10.032%,8.647%
1530,15205,42.870%,45.101%,50.399%,48.759%,6.731%,6.140%
1531,15206,53.681%,53.125%,39.145%,39.640%,7.174%,7.235%
1532,15207,36.640%,33.763%,54.740%,60.066%,8.620%,6.171%
1533,15208,52.749%,51.438%,39.529%,37.883%,7.723%,10.679%
1534,15209,39.662%,36.401%,54.440%,55.880%,5.899%,7.719%
1535,15210,24.691%,28.418%,62.532%,60.487%,12.777%,11.095%
1536,15211,50.548%,51.765%,44.644%,42.104%,4.808%,6.131%
1537,15212,37.281%,41.764%,53.454%,46.556%,9.265%,11.679%
1538,15213,63.521%,69.581%,28.401%,24.622%,8.078%,5.796%
1539,15214,37.975%,36.684%,52.438%,55.792%,9.587%,7.523%
1540,15215,58.195%,55.361%,35.166%,38.425%,6.639%,6.214%
1541,15216,50.863%,53.757%,43.092%,40.446%,6.044%,5.797%
1542,15217,75.239%,77.503%,21.917%,19.894%,2.844%,2.603%
1543,15218,57.511%,57.221%,38.388%,38.949%,4.102%,3.830%
1544,15219,29.170%,24.091%,55.698%,62.744%,15.132%,13.165%
1545,15220,52.293%,59.035%,41.460%,36.483%,6.247%,4.482%
1546,15221,45.844%,45.590%,47.537%,46.873%,6.619%,7.538%
1547,15222,73.488%,79.510%,25.271%,18.951%,1.240%,1.538%
1548,15223,43.662%,34.005%,51.816%,58.215%,4.522%,7.780%
1549,15224,47.361%,52.099%,44.470%,43.579%,8.169%,4.323%
1550,15225,27.876%,36.889%,61.947%,53.556%,10.177%,9.556%
1551,15226,40.055%,41.153%,52.052%,49.957%,7.893%,8.890%
1552,15227,38.695%,40.257%,51.787%,50.240%,9.518%,9.502%
1553,15228,74.512%,79.255%,23.582%,18.669%,1.906%,2.076%
1554,15229,51.198%,50.963%,43.132%,43.814%,5.670%,5.223%
1555,15232,82.770%,86.232%,14.196%,12.180%,3.034%,1.588%
1556,15233,43.972%,20.529%,50.976%,64.627%,5.052%,14.844%
1557,15234,41.932%,43.149%,51.518%,51.569%,6.550%,5.282%
1558,15235,44.874%,43.607%,50.613%,51.045%,4.513%,5.348%
1559,15236,42.468%,47.278%,53.287%,48.411%,4.245%,4.310%
1560,15237,55.704%,63.914%,39.230%,31.855%,5.067%,4.231%
1561,15238,65.090%,72.411%,30.566%,24.226%,4.344%,3.362%
1562,15239,47.102%,45.637%,48.193%,49.410%,4.705%,4.952%
1563,15241,70.377%,78.999%,28.044%,19.507%,1.579%,1.495%
