,County,Higher Degree (Female),Higher Degree (Male),H.S. Diploma (Female),H.S. Diploma (Male),No H.S. Diploma (Female),No H.S. Diploma (Male)
354,15378,100.000%,100.000%,100.000%,100.000%,0.000000%,-100.000000%
355,15379,40.816%,11.364%,57.143%,79.545%,2.041%,9.091%
356,15412,40.506%,33.125%,54.430%,58.125%,5.063%,8.750%
357,15417,31.633%,24.909%,59.110%,66.788%,9.257%,8.303%
358,15419,38.428%,48.208%,56.272%,45.202%,5.300%,6.590%
359,15423,41.071%,28.659%,48.929%,60.610%,10.000%,10.732%
360,15427,35.104%,20.408%,57.044%,68.027%,7.852%,11.565%
361,15429,27.869%,26.136%,59.016%,28.409%,13.115%,45.455%
362,15432,30.939%,16.993%,51.934%,75.817%,17.127%,7.190%
363,15434,15.044%,8.000%,61.062%,75.200%,23.894%,16.800%
364,15477,41.369%,24.453%,53.274%,70.438%,5.357%,5.109%
365,15483,38.608%,34.302%,39.241%,59.302%,22.152%,6.395%
366,19038,59.295%,57.322%,35.943%,37.834%,4.762%,4.844%
367,19102,82.793%,88.707%,14.074%,10.569%,3.134%,0.724%
368,19103,80.279%,86.080%,16.956%,10.918%,2.765%,3.002%
369,19104,37.536%,42.139%,44.062%,40.876%,18.402%,16.985%
370,19106,82.849%,75.772%,15.562%,19.706%,1.589%,4.521%
371,19107,73.045%,68.901%,16.038%,20.965%,10.917%,10.134%
372,19109,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
373,19111,30.590%,25.485%,51.770%,57.092%,17.640%,17.423%
374,19112,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
375,19114,30.391%,30.072%,60.108%,61.451%,9.500%,8.478%
376,19115,40.382%,37.654%,47.705%,50.832%,11.913%,11.514%
377,19116,35.054%,31.419%,54.792%,57.753%,10.154%,10.827%
378,19118,72.779%,69.841%,22.672%,24.321%,4.549%,5.838%
379,19119,56.862%,47.287%,36.405%,43.407%,6.732%,9.306%
380,19120,22.600%,16.473%,51.765%,50.990%,25.635%,32.537%
381,19121,18.093%,15.596%,55.390%,62.931%,26.517%,21.472%
382,19122,24.832%,26.650%,52.938%,48.511%,22.230%,24.839%
383,19123,54.408%,55.318%,33.305%,32.580%,12.287%,12.102%
384,19124,16.299%,12.230%,56.494%,60.080%,27.208%,27.690%
385,19125,40.747%,39.739%,42.272%,40.684%,16.981%,19.577%
386,19126,32.800%,25.679%,45.913%,56.342%,21.287%,17.980%
387,19127,54.638%,61.464%,39.903%,32.075%,5.459%,6.462%
388,19128,51.425%,51.065%,43.380%,41.681%,5.195%,7.254%
389,19129,54.333%,45.668%,37.847%,45.267%,7.820%,9.065%
