,County,Higher Degree,H.S. Diploma,No H.S. Diploma
369,19104,39.819704%,42.481219%,17.699077%
370,19106,79.260604%,17.663355%,3.076041%
371,19107,70.948132%,18.531229%,10.520639%
372,19109,Not applicable,Not applicable,Not applicable
373,19111,28.237963%,54.222387%,17.539650%
374,19112,Not applicable,Not applicable,Not applicable
375,19114,30.242148%,60.734339%,9.023513%
376,19115,39.119451%,49.151931%,11.728618%
377,19116,33.352197%,56.178504%,10.469299%
378,19118,71.511315%,23.383621%,5.105065%
379,19119,52.685181%,39.459663%,7.855156%
380,19120,19.800846%,51.410673%,28.788481%
381,19121,17.029554%,58.601870%,24.368577%
382,19122,25.748398%,50.706698%,23.544904%
383,19123,54.851503%,32.951441%,12.197056%
384,19124,14.542649%,58.041587%,27.415764%
385,19125,40.219378%,41.439940%,18.340682%
386,19126,29.712522%,50.434112%,19.853367%
387,19127,58.417762%,35.568010%,6.014227%
388,19128,51.253542%,42.570209%,6.176249%
389,19129,50.373575%,41.237384%,8.389042%
390,19130,69.242475%,23.943126%,6.814399%
391,19131,28.746561%,58.046878%,13.206561%
392,19132,11.874342%,67.376471%,20.749187%
393,19133,7.671163%,49.542927%,42.785911%
394,19134,14.144524%,53.904731%,31.950745%
395,19135,19.818017%,63.065123%,17.116860%
396,19136,20.756221%,64.513828%,14.729951%
397,19137,21.748764%,61.121527%,17.129709%
398,19138,19.894103%,65.556410%,14.549486%
399,19139,20.394085%,63.471911%,16.134004%
400,19140,11.977180%,56.722541%,31.300279%
401,19141,21.335896%,59.855839%,18.808265%
402,19142,16.904932%,61.764355%,21.330712%
403,19143,27.124691%,55.811454%,17.063855%
404,19144,31.488495%,50.746749%,17.764756%
405,19145,27.569062%,54.332029%,18.098909%
406,19146,53.044621%,35.043342%,11.912036%
407,19147,60.579283%,28.882343%,10.538373%
408,19148,25.743766%,48.748016%,25.508219%
409,19149,19.234979%,58.120282%,22.644739%
410,19150,33.540123%,57.349647%,9.110230%
411,19151,30.100182%,59.303279%,10.596539%
412,19152,32.370082%,50.761625%,16.868293%
413,19153,27.536885%,56.920824%,15.542291%
414,19154,27.667489%,60.830861%,11.501651%
415,15310,16.431925%,63.380282%,20.187793%
416,15315,19.813084%,65.607477%,14.579439%
417,15316,16.883117%,74.025974%,9.090909%
418,15320,34.493856%,53.978935%,11.527209%
