,County,Higher Degree,H.S. Diploma,No H.S. Diploma
357,16117,33.648439%,57.411784%,8.939777%
358,16120,27.801418%,59.078014%,13.120567%
359,16123,38.711776%,51.984385%,9.303839%
360,16136,28.388278%,64.285714%,7.326007%
361,16141,31.231454%,55.489614%,13.278932%
362,16157,23.203194%,68.056788%,8.740018%
363,17003,30.038023%,58.948941%,11.013036%
364,17010,0.000000%,48.529412%,51.470588%
365,17016,19.434194%,76.506765%,4.059041%
366,17026,21.986651%,63.643502%,14.369847%
367,17028,28.866366%,59.234234%,11.899399%
368,17033,56.524957%,36.962421%,6.512622%
369,17038,23.011557%,67.590075%,9.398368%
370,17039,12.000000%,34.666667%,53.333333%
371,17041,41.111111%,58.888889%,0.000000%
372,17042,31.094604%,57.178046%,11.727350%
373,17046,17.543266%,61.882433%,20.574301%
374,17064,63.826367%,31.350482%,4.823151%
375,17067,19.512446%,60.985394%,19.502160%
376,17073,16.196355%,60.052910%,23.750735%
377,17077,0.000000%,100.000000%,0.000000%
378,17078,40.896267%,52.253789%,6.849944%
379,17083,0.000000%,100.000000%,0.000000%
380,17087,20.202532%,63.037975%,16.759494%
381,17088,19.099379%,60.093168%,20.807453%
382,17545,29.570313%,57.180990%,13.248698%
383,17963,22.879684%,63.859809%,13.260507%
384,19551,28.772803%,60.392482%,10.834715%
385,16110,18.215613%,69.144981%,12.639405%
386,16111,13.892078%,51.090700%,35.017222%
387,16125,27.988886%,62.670589%,9.340525%
388,16131,32.229965%,57.665505%,10.104530%
389,16134,27.201365%,59.829352%,12.969283%
390,16314,21.652720%,65.010460%,13.336820%
391,16316,32.141165%,58.834676%,9.024159%
392,16317,17.448405%,72.232645%,10.318949%
393,16327,24.060495%,64.940422%,10.999083%
394,16328,2.985075%,85.074627%,11.940299%
395,16335,35.070460%,56.729593%,8.199947%
396,16354,23.394557%,64.633329%,11.972114%
397,16360,20.062696%,71.368861%,8.568443%
398,16401,14.985591%,69.241114%,15.773295%
399,16403,30.006277%,57.878217%,12.115505%
400,16404,18.305392%,59.990938%,21.703670%
401,16406,23.671282%,62.170612%,14.158106%
402,16407,25.741664%,63.691258%,10.567078%
403,16412,47.856505%,46.501935%,5.641560%
404,16422,56.521739%,35.403727%,8.074534%
405,16424,22.938444%,65.795587%,11.265970%
406,16433,28.053940%,62.162877%,9.783184%
407,16434,16.900549%,58.084198%,25.015253%
408,16435,19.198791%,65.079365%,15.721844%
409,16438,24.511386%,64.030841%,11.457773%
410,16440,24.728261%,66.576087%,8.695652%
411,16441,30.964686%,62.159058%,6.876256%
412,17810,14.828897%,69.781869%,15.389234%
413,17829,14.012739%,68.152866%,17.834395%
414,17835,14.077670%,73.300971%,12.621359%
415,17837,41.763590%,42.868927%,15.367483%
416,17844,25.680272%,57.681406%,16.638322%
417,17845,15.373864%,65.688330%,18.937806%
418,17855,30.362117%,63.231198%,6.406685%
419,17856,17.007940%,74.091099%,8.900961%
420,17870,33.219796%,53.346023%,13.434182%
421,17880,15.000000%,41.250000%,43.750000%
422,17885,13.333333%,86.666667%,0.000000%
423,17886,28.478544%,60.208062%,11.313394%
424,17887,0.000000%,75.206612%,24.793388%
425,17889,35.360000%,51.093333%,13.546667%
426,18405,27.896104%,62.649351%,9.454545%
427,18415,46.721311%,43.208431%,10.070258%
428,18417,24.805195%,65.714286%,9.480519%
429,18421,26.182965%,64.064143%,9.752892%
430,18424,33.671347%,58.658346%,7.670307%
431,18427,0.000000%,100.000000%,0.000000%
432,18428,30.620155%,61.295681%,8.084164%
433,18431,30.064668%,60.493827%,9.441505%
434,18436,30.702588%,61.119915%,8.177496%
435,18437,43.604651%,54.069767%,2.325581%
436,18438,38.713080%,53.270042%,8.016878%
437,18439,27.380952%,65.178571%,7.440476%
438,18443,16.712329%,81.095890%,2.191781%
439,18444,36.818049%,55.246523%,7.935427%
440,18445,30.740741%,60.158730%,9.100529%
441,18453,24.179830%,68.894289%,6.925881%
442,18454,0.000000%,0.000000%,100.000000%
443,18455,11.666667%,78.333333%,10.000000%
444,18456,15.654952%,71.565495%,12.779553%
445,18459,24.390244%,48.780488%,26.829268%
446,18460,34.586466%,51.127820%,14.285714%
447,18461,17.532468%,68.181818%,14.285714%
448,18462,32.475884%,51.768489%,15.755627%
449,18463,24.309392%,71.270718%,4.419890%
450,18465,30.259067%,57.409326%,12.331606%
451,18469,17.793594%,76.512456%,5.693950%
452,18470,34.496920%,57.357974%,8.145106%
453,18472,16.057181%,66.855053%,17.087766%
454,18473,36.388140%,56.873315%,6.738544%
455,18847,23.731307%,64.255945%,12.012748%
456,17756,29.785389%,55.560373%,14.654238%
457,17774,19.721116%,65.737052%,14.541833%
458,17814,24.644412%,65.428157%,9.927431%
459,17815,33.901739%,56.964376%,9.133885%
460,17820,34.021901%,58.163265%,7.814833%
461,17821,36.629381%,53.736018%,9.634601%
462,17824,36.512456%,56.192171%,7.295374%
463,17846,28.727273%,60.909091%,10.363636%
464,17859,20.534459%,65.072668%,14.392874%
465,17878,27.349624%,62.030075%,10.620301%
466,17888,22.926829%,63.414634%,13.658537%
467,17920,15.916955%,76.124567%,7.958478%
468,17921,21.655218%,65.996075%,12.348708%
469,17945,5.042017%,81.512605%,13.445378%
470,17985,25.161987%,65.658747%,9.179266%
471,18603,24.869986%,60.867707%,14.262307%
472,18631,26.082677%,60.039370%,13.877953%
473,18635,25.247694%,62.760506%,11.991800%
474,18655,24.769585%,64.239631%,10.990783%
475,17701,30.581113%,58.124979%,11.293908%
476,17731,62.121212%,37.878788%,0.000000%
477,17737,29.763561%,60.083449%,10.152990%
478,17758,18.672840%,70.524691%,10.802469%
479,17768,17.916667%,64.166667%,17.916667%
480,17774,19.721116%,65.737052%,14.541833%
481,17814,24.644412%,65.428157%,9.927431%
482,18614,20.835482%,69.881382%,9.283136%
483,18616,23.149905%,65.654649%,11.195446%
484,18619,22.330097%,66.504854%,11.165049%
485,18626,28.389831%,59.957627%,11.652542%
486,18628,27.835052%,62.371134%,9.793814%
487,18632,17.464789%,70.985915%,11.549296%
488,18833,16.561404%,73.614035%,9.824561%
489,16312,100.000000%,0.000000%,0.000000%
490,16313,15.224626%,69.883527%,14.891847%
491,16329,18.750000%,72.395833%,8.854167%
492,16340,25.931131%,68.165847%,5.903022%
493,16345,35.212845%,57.430919%,7.356236%
494,16347,23.715651%,68.817204%,7.467145%
495,16350,20.923762%,68.336116%,10.740122%
