,County,Doctorate,Professional,Masters,Bachelor,Associate,Some College,High School,Some HS,Less than HS,None
355,15379,0.000000%,0.000000%,5.376344%,18.279570%,3.225806%,17.204301%,50.537634%,0.000000%,5.376344%,0.000000%
356,15412,2.201258%,0.000000%,15.094340%,16.666667%,2.830189%,13.522013%,42.767296%,6.918239%,0.000000%,0.000000%
357,15417,1.024390%,1.138211%,6.471545%,13.138211%,6.845528%,14.308943%,48.243902%,7.203252%,1.203252%,0.422764%
358,15419,1.602404%,2.503756%,15.823736%,18.327491%,4.406610%,12.618928%,38.858287%,5.007511%,0.000000%,0.851277%
359,15423,1.084337%,1.867470%,4.096386%,21.024096%,6.867470%,13.795181%,40.903614%,5.120482%,4.698795%,0.542169%
360,15427,0.000000%,0.572082%,4.919908%,12.700229%,9.496568%,8.009153%,54.576659%,6.407323%,2.517162%,0.800915%
361,15429,0.000000%,0.000000%,16.107383%,10.738255%,0.000000%,21.476510%,19.463087%,32.214765%,0.000000%,0.000000%
362,15432,0.299401%,0.299401%,3.592814%,7.485030%,12.874251%,11.377246%,51.497006%,9.281437%,2.994012%,0.299401%
363,15434,0.840336%,1.680672%,0.420168%,5.882353%,2.521008%,11.344538%,57.142857%,11.764706%,5.462185%,2.941176%
364,15477,0.000000%,0.000000%,8.524590%,11.475410%,13.770492%,16.065574%,44.918033%,5.245902%,0.000000%,0.000000%
365,15483,1.818182%,2.727273%,3.636364%,19.696970%,8.484848%,13.030303%,36.666667%,11.818182%,2.121212%,0.000000%
366,19038,3.186321%,3.976948%,17.898647%,27.048009%,6.253572%,15.150505%,21.685083%,2.952943%,1.271671%,0.576300%
367,19102,7.375996%,16.987921%,21.331277%,36.777178%,3.469545%,6.527885%,5.679774%,1.542020%,0.308404%,0.000000%
368,19103,7.041899%,14.189427%,23.177909%,36.829133%,1.664906%,7.238066%,6.986570%,1.735325%,1.076405%,0.060359%
369,19104,4.370036%,2.704443%,10.864992%,17.355656%,4.524576%,20.575231%,21.905988%,14.071689%,2.618588%,1.008800%
370,19106,8.320596%,11.874284%,19.755445%,37.437906%,1.872373%,7.594574%,10.068781%,2.636607%,0.439434%,0.000000%
