,County,Doctorate F,Professional F,Masters F,Bachelor F,Associate F,Some College F,High School F,Some HS F,Less than HS F,None F
167,15946,0.748%,0.208%,6.983%,11.388%,13.134%,13.508%,45.054%,5.819%,1.746%,1.413%
168,16625,0.000%,1.326%,7.188%,6.001%,15.632%,57.920%,7.746%,3.699%,0.488%,8.745875%
169,16633,17.544%,0.000%,66.667%,15.789%,0.000000%,-100.000000%,-100.000000%,-100.000000%,-100.000000%,62.698%
170,16650,0.000%,0.308%,7.231%,11.077%,7.077%,8.769%,56.462%,6.923%,1.231%,0.923%
171,16655,0.464%,0.773%,1.236%,6.182%,6.491%,12.365%,60.124%,9.274%,1.855%,1.236%
172,16657,0.206%,0.619%,2.474%,8.247%,9.691%,17.732%,51.959%,7.629%,0.825%,0.619%
173,16659,2.609%,2.609%,13.913%,24.348%,51.304%,5.217%,2.970297%,-100.000000%,-82.388303%,-62.095606%
174,16662,0.176%,0.220%,5.621%,11.726%,6.895%,15.591%,50.066%,4.831%,4.480%,0.395%
175,16664,1.142%,0.326%,2.610%,10.604%,8.809%,13.214%,44.698%,7.830%,10.277%,0.489%
176,16667,0.629%,1.258%,7.547%,9.224%,18.449%,49.266%,12.369%,0.000%,1.258%,12.090680%
177,16670,17.391%,13.043%,56.522%,15.789474%,-100.000000%,-6.379927%,-100.000000%,-100.000000%,"-1,000.000000%",39.024%
178,16672,2.299%,3.448%,10.345%,17.241%,35.632%,31.034%,0.000%,0.000000%,178.871492%,-100.000000%
179,16673,0.447%,1.043%,3.277%,9.881%,12.562%,12.711%,51.787%,6.306%,1.440%,0.546%
180,16678,0.000%,0.292%,5.053%,10.204%,8.163%,16.521%,44.995%,10.010%,4.179%,0.583%
181,16679,0.000%,1.003%,2.676%,4.682%,14.381%,59.866%,17.391%,0.000%,2.264151%,-73.311882%
182,16694,3.704%,7.407%,9.877%,9.877%,45.679%,17.284%,2.469%,3.704%,10.526316%,-100.000000%
183,16695,1.090%,0.000%,1.907%,14.714%,9.264%,22.343%,40.599%,5.995%,4.087%,11.111111%
184,17211,2.632%,7.018%,20.175%,52.632%,13.158%,0.877%,3.509%,1.869159%,-100.000000%,-88.917250%
185,17022,0.634%,1.703%,6.710%,19.750%,9.681%,15.302%,38.185%,5.990%,0.984%,1.060%
186,17073,0.533%,1.006%,2.367%,9.349%,5.266%,12.663%,52.840%,11.065%,3.314%,1.598%
187,17501,1.166%,0.000%,4.793%,18.847%,9.132%,15.933%,39.508%,8.808%,1.813%,0.000%
188,17502,0.820%,0.922%,1.639%,14.242%,6.148%,12.500%,55.943%,5.123%,1.947%,0.717%
189,17505,0.000%,0.000%,1.687%,6.595%,6.288%,3.221%,31.135%,12.577%,36.503%,1.994%
190,17507,0.000%,-100.000000%,0.000000%,0.000000%,0.000000%,28.213633%,15.399115%,12.313400%,10.459911%,31.930693%
191,17508,0.000%,5.882%,12.299%,49.733%,17.112%,9.626%,5.348%,0.000000%,-100.000000%,-100.000000%
192,17509,0.444%,1.701%,5.251%,10.577%,5.769%,12.944%,29.882%,12.056%,20.858%,0.518%
193,17512,0.488%,0.625%,5.120%,12.906%,7.954%,16.060%,47.295%,7.329%,1.737%,0.488%
194,17516,1.698%,8.622%,19.464%,7.054%,15.937%,41.411%,4.572%,1.241%,17.831005%,-26.998711%
195,17517,0.000%,0.363%,5.464%,14.340%,7.678%,14.032%,44.091%,7.243%,5.319%,1.470%
196,17518,1.225%,0.000%,3.676%,11.029%,2.941%,9.804%,45.833%,13.235%,10.784%,1.471%
197,17519,0.505%,1.516%,12.127%,9.692%,6.155%,38.769%,6.523%,21.130%,3.583%,4.377104%
198,17520,0.000%,4.005%,7.949%,18.204%,12.803%,23.665%,30.522%,1.760%,1.092%,14.077362%
199,17522,0.440%,0.829%,4.562%,15.489%,7.702%,12.188%,37.317%,9.759%,9.683%,2.031%
200,17527,0.000%,0.210%,4.677%,10.930%,5.675%,10.825%,40.935%,12.874%,12.822%,1.051%
201,17529,4.258%,8.664%,5.580%,15.345%,27.166%,13.363%,25.624%,0.000%,17.139853%,-41.859642%
202,17532,0.000%,1.480%,8.788%,8.418%,13.876%,49.306%,9.343%,8.788%,10.604454%,-66.063258%
203,17535,0.000%,3.298%,7.538%,4.005%,6.243%,32.038%,16.137%,30.742%,15.655577%,-58.223767%
204,17536,0.000%,0.363%,3.023%,18.501%,3.628%,12.213%,27.449%,15.236%,18.863%,0.726%
205,17538,0.000%,0.586%,15.285%,27.010%,10.176%,10.678%,34.380%,1.256%,0.084%,0.544%
206,17540,0.878%,0.696%,6.507%,15.012%,6.053%,16.465%,28.238%,9.201%,15.738%,1.211%
207,17543,1.327%,1.738%,11.277%,21.650%,7.257%,15.044%,33.091%,5.088%,2.332%,1.195%
208,17545,0.212%,0.749%,5.779%,17.287%,8.325%,15.227%,39.666%,8.275%,4.206%,0.275%
209,17547,0.000%,0.795%,6.572%,21.432%,8.288%,15.948%,40.184%,6.153%,0.628%,0.000%
210,17550,0.000%,17.606%,75.117%,5.555556%,-100.000000%,-67.059604%,-8.782921%,-75.996811%,"-1,000.000000%",691.954023%
211,17551,3.095%,0.142%,12.238%,19.922%,7.969%,14.301%,35.183%,5.656%,0.711%,0.783%
212,17552,0.358%,0.509%,9.083%,15.648%,10.129%,18.538%,40.724%,2.890%,2.119%,0.000%
213,17554,2.506%,1.880%,4.838%,11.904%,13.227%,21.232%,38.984%,2.541%,2.611%,0.278%
214,17555,0.400%,0.400%,3.242%,12.966%,3.908%,13.410%,35.746%,12.966%,15.409%,1.554%
215,17557,0.000%,0.239%,3.272%,11.253%,5.128%,13.148%,41.720%,8.659%,15.403%,1.177%
