RecordNumber,Zipcode,City,State,Lat,Long
44434,99604,HOOPER BAY,AK,61.6,-165.74
44435,99605,HOPE,AK,60.84,-149.4
44436,99745,HUGHES,AK,66.05,-154.24
44437,99746,HUSLIA,AK,65.69,-156.35
44438,99922,HYDABURG,AK,55.2,-132.81
44439,99923,HYDER,AK,55.97,-130.04
44440,99606,ILIAMNA,AK,59.52,-154.4
44441,99606,KOKHANOK,AK,59.52,-154.4
44442,99606,KOKHONAK,AK,59.52,-154.4
44443,99647,PEDRO BAY,AK,59.86,-154.03
44444,99647,ILIAMNA,AK,59.86,-154.03
44445,99801,JUNEAU,AK,58.58,-134.77
44446,99802,JUNEAU,AK,58.3,-134.42
44447,99803,JUNEAU,AK,58.37,-134.59
44448,99811,JUNEAU,AK,58.47,-134.15
44449,99812,JUNEAU,AK,58.28,-134.4
44450,99812,STATE OF ALASKA,AK,58.28,-134.4
44451,99821,AUKE BAY,AK,58.3,-134.42
44452,99821,JUNEAU,AK,58.3,-134.42
44453,99824,DOUGLAS,AK,58.23,-134.38
44454,99824,JUNEAU,AK,58.23,-134.38
44455,99850,JUNEAU,AK,58.43,-135.38
44456,99830,KAKE,AK,56.79,-134.19
44457,99747,KAKTOVIK,AK,70.12,-143.66
44458,99607,KALSKAG,AK,61.61,-160.2
44459,99748,KALTAG,AK,63.81,-159.67
44460,99608,KARLUK,AK,57.6,-154.33
44461,99609,KASIGLUK,AK,60.87,-162.54
44462,99610,KASILOF,AK,60.28,-151.26
44463,99611,KENAI,AK,60.66,-150.9
44464,99611,NIKISKI,AK,60.66,-150.9
44465,99635,NIKISKI,AK,60.91,-150.7
44466,99635,KENAI,AK,60.91,-150.7
44467,99635,NIKISHKA,AK,60.91,-150.7
44468,99901,KETCHIKAN,AK,55.61,-131.58
44469,99901,EDNA BAY,AK,55.61,-131.58
44470,99901,KASAAN,AK,55.61,-131.58
44471,99901,NAUKATI BAY,AK,55.61,-131.58
44472,99901,SAXMAN,AK,55.61,-131.58
44473,99903,MEYERS CHUCK,AK,55.68,-132.19
44474,99903,KETCHIKAN,AK,55.68,-132.19
44475,99918,COFFMAN COVE,AK,55.97,-132.74
44476,99918,KETCHIKAN,AK,55.97,-132.74
44477,99919,THORNE BAY,AK,55.57,-132.39
44478,99919,KETCHIKAN,AK,55.57,-132.39
44479,99950,KETCHIKAN,AK,55.34,-131.64
44480,99950,EDNA BAY,AK,55.34,-131.64
44481,99950,KASAAN,AK,55.34,-131.64
44482,99749,KIANA,AK,66.97,-160.43
44483,99612,KING COVE,AK,55.08,-162.32
44484,99549,PORT HEIDEN,AK,57.09,-158.26
44485,99549,KING SALMON,AK,57.09,-158.26
44486,99613,KING SALMON,AK,58.75,-156.54
44487,99613,IGIUGIG,AK,58.75,-156.54
44488,99614,KIPNUK,AK,59.93,-164.06
44489,99750,KIVALINA,AK,67.73,-164.55
44490,99925,KLAWOCK,AK,55.54,-132.96
44491,99751,KOBUK,AK,66.93,-156.88
44492,99615,KODIAK,AK,57.79,-152.4
44493,99615,AKHIOK,AK,57.79,-152.4
44494,99615,CHINIAK,AK,57.79,-152.4
44495,99619,KODIAK,AK,57.79,-152.4
44496,99619,USCGS,AK,57.79,-152.4
44497,99697,KODIAK,AK,57.55,-153.43
44498,99620,KOTLIK,AK,62.84,-163.65
44499,99752,KOTZEBUE,AK,67.24,-161.19
44500,99753,KOYUK,AK,64.93,-161.14
44501,99754,KOYUKUK,AK,65.04,-158.66
44502,99621,KWETHLUK,AK,60.79,-161.42
44503,99545,KONGIGANAK,AK,60.78,-161.79
44504,99545,KWIGILLINGOK,AK,60.78,-161.79
44505,99622,KWIGILLINGOK,AK,59.87,-163.18
44506,99757,LAKE MINCHUMINA,AK,63.81,-152.25
44507,99757,LK MINCHUMINA,AK,63.81,-152.25
44508,99624,LARSEN BAY,AK,57.48,-153.99
44509,99625,LEVELOCK,AK,58.95,-156.48
44510,99626,LOWER KALSKAG,AK,61.51,-160.36
44511,99627,MC GRATH,AK,62.51,-154.44
44512,99627,MCGRATH,AK,62.51,-154.44
44513,99675,TAKOTNA,AK,62.97,-156.08
44514,99675,MC GRATH,AK,62.97,-156.08
44515,99691,NIKOLAI,AK,62.87,-153.87
44516,99691,MC GRATH,AK,62.87,-153.87
44517,99756,MANLEY HOT SPRINGS,AK,64.65,-150.9
44518,99756,MANLEY SPGS,AK,64.65,-150.9
44519,99628,MANOKOTAK,AK,58.88,-158.93
44520,99630,MEKORYUK,AK,60.08,-166.48
44521,99926,METLAKATLA,AK,55.14,-131.49
44522,99758,MINTO,AK,65.09,-149.64
44523,99631,MOOSE PASS,AK,60.57,-149.45
44524,99632,MOUNTAIN VILLAGE,AK,62.09,-163.71
44525,99632,MOUNTAIN VLG,AK,62.09,-163.71
44526,99633,NAKNEK,AK,58.8,-156.73
44527,99634,NAPAKIAK,AK,60.67,-162.01
44528,99704,CLEAR,AK,64.28,-149.19
44529,99704,NENANA,AK,64.28,-149.19
44530,99744,ANDERSON,AK,64.2,-148.97
44531,99744,NENANA,AK,64.2,-148.97
44532,99760,NENANA,AK,64.47,-148.57
44533,99636,NEW STUYAHOK,AK,59.47,-157.27
44534,99638,NIKOLSKI,AK,52.99,-168.82
44535,99639,NINILCHIK,AK,60.07,-151.42
44536,99761,NOATAK,AK,67.57,-163
44537,99762,NOME,AK,64.71,-164.62
44538,99762,DIOMEDE,AK,64.71,-164.62
44539,99762,GOLOVIN,AK,64.71,-164.62
44540,99762,LITTLE DIOMEDE,AK,64.71,-164.62
44541,99762,LTL DIOMEDE,AK,64.71,-164.62
44542,99640,NONDALTON,AK,59.96,-154.87
44543,99763,NOORVIK,AK,66.83,-161.03
44544,99764,NORTHWAY,AK,63,-141.69
44545,99765,NULATO,AK,64.72,-158.11
44546,99641,NUNAPITCHUK,AK,60.88,-162.32
44547,99643,OLD HARBOR,AK,57.21,-153.32
44548,99644,OUZINKIE,AK,57.93,-152.42
44549,99645,PALMER,AK,61.6,-148.46
44550,99832,PELICAN,AK,57.95,-136.11
44551,99648,PERRYVILLE,AK,55.9,-159.27
44552,99833,PETERSBURG,AK,57.05,-132.62
44553,99833,KUPREANOF,AK,57.05,-132.62
44554,99649,PILOT POINT,AK,57.83,-157.13
44555,99650,PILOT STATION,AK,61.94,-162.88
44556,99651,PLATINUM,AK,58.96,-161.74
44557,99927,POINT BAKER,AK,56.3,-133.57
44558,99766,POINT HOPE,AK,68.34,-166.67
44559,99653,PORT ALSWORTH,AK,60.46,-154.19
44560,99550,PORT LIONS,AK,57.9,-153.04
